payment_id,payment_number,retainerinvoice_id,invoice_numbers,date,payment_mode,payment_mode_formatted,amount,bcy_amount,unused_amount,bcy_unused_amount,account_id,account_name,description,reference_number,customer_id,customer_name,created_time,last_modified_time,last_four_digits,gateway_transaction_id,payment_gateway,bcy_refunded_amount,applied_invoices,has_attachment,tags,documents,custom_fields_list,tax_account_id,tax_account_name,tax_amount_withheld,payment_type,payment_status,settlement_status,organization,timestamp
1516568000117973124,55895,,INV-060041,2025-04-30,Stripe,Stripe,59.0,81.34,0.0,0.0,1516568000004396339,Payment Processing Stripe Account USD,Stripe processing fees : $2.01 ,ch_2RJh9nogzzxGnOEz02XIzLqK,1516568000042463093,Spectaire,2025-04-30T16:23:05-0400,2025-04-30T16:23:05-0400,1843,ch_2RJh9nogzzxGnOEz02XIzLqK,stripe,0.0,[],False,[],,,,,0.0,Invoice Payment,paid,,GoFleet Corporation,2025-04-30 23:05:16.836666
1516568000117990063,55885,,INV-061581,2025-04-30,Stripe,Stripe,135.0,186.1,0.0,0.0,1516568000004396339,Payment Processing Stripe Account USD,Stripe processing fees : $5.03 ,ch_2RJfzNogzzxGnOEz0Goaskvv,1516568000000860475,"The Barricade Company, LLC",2025-04-30T15:08:16-0400,2025-04-30T15:08:16-0400,3049,ch_2RJfzNogzzxGnOEz0Goaskvv,stripe,0.0,[],False,[],,,,,0.0,Invoice Payment,paid,,GoFleet Corporation,2025-04-30 23:05:16.836811
1516568000117994509,55884,,INV-060530,2025-04-30,Stripe,Stripe,38.02,38.02,0.0,0.0,1516568000004396349,Payment Processing Stripe Account CAD,Stripe processing fees : $1.25 ,ch_2RJfqxogzzxGnOEz0jys22Bm,1516568000046046052,S&K Lock and Security Solutions LTD,2025-04-30T14:59:32-0400,2025-04-30T14:59:32-0400,5934,ch_2RJfqxogzzxGnOEz0jys22Bm,stripe,0.0,[],False,[],,,,,0.0,Invoice Payment,paid,,GoFleet Corporation,2025-04-30 23:05:16.836815
1516568000117943142,55883,,INV-060678,2025-04-30,Stripe,Stripe,196.62,196.62,0.0,0.0,1516568000004396349,Payment Processing Stripe Account CAD,Stripe processing fees : $5.22 ,ch_2RJcJDogzzxGnOEz0fgfMMQG,1516568000000792941,Court Surface Specialists Ltd.,2025-04-30T11:12:29-0400,2025-04-30T11:12:29-0400,7831,ch_2RJcJDogzzxGnOEz0fgfMMQG,stripe,0.0,[],False,[],,,,,0.0,Invoice Payment,paid,,GoFleet Corporation,2025-04-30 23:05:16.836817
1516568000117943040,55882,,INV-060742,2025-04-30,Stripe,Stripe,343.38,343.38,0.0,0.0,1516568000004396349,Payment Processing Stripe Account CAD,Stripe processing fees : $8.88 ,ch_2RJbkOogzzxGnOEz10AVYqtd,1516568000000863483,TPS Group Of Companies,2025-04-30T10:36:29-0400,2025-04-30T10:36:29-0400,4838,ch_2RJbkOogzzxGnOEz10AVYqtd,stripe,0.0,[],False,[],,,,,0.0,Invoice Payment,paid,,GoFleet Corporation,2025-04-30 23:05:16.836819
1516568000117937350,55881,,INV-061571,2025-04-30,Stripe,Stripe,24.0,33.2,0.0,0.0,1516568000004396339,Payment Processing Stripe Account USD,Stripe processing fees : $1.14 ,ch_2RJXXGogzzxGnOEz0T8K73vk,1516568000000212626,USA Distributor Inc.,2025-04-30T06:06:40-0400,2025-04-30T06:06:40-0400,5349,ch_2RJXXGogzzxGnOEz0T8K73vk,stripe,0.0,[],False,[],,,,,0.0,Invoice Payment,paid,,GoFleet Corporation,2025-04-30 23:05:16.836820
1516568000117937079,55880,,INV-061568,2025-04-30,Stripe,Stripe,23.69,32.77,0.0,0.0,1516568000004396339,Payment Processing Stripe Account USD,Stripe processing fees : $1.13 ,ch_2RJXX7ogzzxGnOEz0pORRNDW,1516568000045691028,Longhaul Transport LLC,2025-04-30T06:06:30-0400,2025-04-30T06:06:30-0400,1746,ch_2RJXX7ogzzxGnOEz0pORRNDW,stripe,0.0,[],False,[],,,,,0.0,Invoice Payment,paid,,GoFleet Corporation,2025-04-30 23:05:16.836822
1516568000117936940,55879,,INV-061567,2025-04-30,Stripe,Stripe,82.44,82.44,0.0,0.0,1516568000004396349,Payment Processing Stripe Account CAD,Stripe processing fees : $2.36 ,ch_2RJXX2ogzzxGnOEz1twzZMLx,1516568000043817705,PRO WEST LOGISTICS INC,2025-04-30T06:06:26-0400,2025-04-30T06:06:26-0400,5845,ch_2RJXX2ogzzxGnOEz1twzZMLx,stripe,0.0,[],False,[],,,,,0.0,Invoice Payment,paid,,GoFleet Corporation,2025-04-30 23:05:16.836826
1516568000117936805,55878,,INV-061566,2025-04-30,Stripe,Stripe,144.64,144.64,0.0,0.0,1516568000004396349,Payment Processing Stripe Account CAD,Stripe processing fees : $3.92 ,ch_2RJXWyogzzxGnOEz0K6KFmwf,1516568000041198041,Vacu-Man Duct Cleaning Services,2025-04-30T06:06:21-0400,2025-04-30T06:06:21-0400,9015,ch_2RJXWyogzzxGnOEz0K6KFmwf,stripe,0.0,[],False,[],,,,,0.0,Invoice Payment,paid,,GoFleet Corporation,2025-04-30 23:05:16.836828
1516568000117936682,55877,,INV-061565,2025-04-30,Stripe,Stripe,25.99,25.99,0.0,0.0,1516568000004396349,Payment Processing Stripe Account CAD,Stripe processing fees : $0.95 ,ch_2RJXWtogzzxGnOEz199uWogH,1516568000039693574,High Tech Sign & Service Inc,2025-04-30T06:06:17-0400,2025-04-30T06:06:17-0400,2853,ch_2RJXWtogzzxGnOEz199uWogH,stripe,0.0,[],False,[],,,,,0.0,Invoice Payment,paid,,GoFleet Corporation,2025-04-30 23:05:16.836829
1516568000117936551,55876,,INV-061564,2025-04-30,Stripe,Stripe,79.67,79.67,0.0,0.0,1516568000004396349,Payment Processing Stripe Account CAD,Stripe processing fees : $2.29 ,ch_2RJXWpogzzxGnOEz0utmHumz,1516568000039409414,Donald L. Davidson Fuels Ltd,2025-04-30T06:06:12-0400,2025-04-30T06:06:12-0400,4182,ch_2RJXWpogzzxGnOEz0utmHumz,stripe,0.0,[],False,[],,,,,0.0,Invoice Payment,paid,,GoFleet Corporation,2025-04-30 23:05:16.836831
1516568000117936416,55875,,INV-061563,2025-04-30,Stripe,Stripe,51.98,51.98,0.0,0.0,1516568000004396349,Payment Processing Stripe Account CAD,Stripe processing fees : $1.6 ,ch_2RJXWkogzzxGnOEz0plOBDHS,1516568000039441010,V G L Group Ltd,2025-04-30T06:06:08-0400,2025-04-30T06:06:08-0400,0236,ch_2RJXWkogzzxGnOEz0plOBDHS,stripe,0.0,[],False,[],,,,,0.0,Invoice Payment,paid,,GoFleet Corporation,2025-04-30 23:05:16.836832
1516568000117936293,55874,,INV-061562,2025-04-30,Stripe,Stripe,77.97,77.97,0.0,0.0,1516568000004396349,Payment Processing Stripe Account CAD,Stripe processing fees : $2.25 ,ch_2RJXWgogzzxGnOEz0oyAwHsS,1516568000002779653,Phase 3 AV,2025-04-30T06:06:03-0400,2025-04-30T06:06:03-0400,7053,ch_2RJXWgogzzxGnOEz0oyAwHsS,stripe,0.0,[],False,[],,,,,0.0,Invoice Payment,paid,,GoFleet Corporation,2025-04-30 23:05:16.836834
1516568000117936092,55873,,INV-061560,2025-04-30,Stripe,Stripe,226.6,313.45,0.0,0.0,1516568000004396339,Payment Processing Stripe Account USD,Stripe processing fees : $8.23 ,ch_2RJXWYogzzxGnOEz13tpaW85,1516568000036848027,Chesterfield Trading Co,2025-04-30T06:05:56-0400,2025-04-30T06:05:56-0400,2362,ch_2RJXWYogzzxGnOEz13tpaW85,stripe,0.0,[],False,[],,,,,0.0,Invoice Payment,paid,,GoFleet Corporation,2025-04-30 23:05:16.836835
1516568000117935955,55872,,INV-061559,2025-04-30,Stripe,Stripe,216.3,299.2,0.0,0.0,1516568000004396339,Payment Processing Stripe Account USD,Stripe processing fees : $7.87 ,ch_2RJXWUogzzxGnOEz1cuRokBE,1516568000032425183,Bob Bailey's Appliance,2025-04-30T06:05:51-0400,2025-04-30T06:05:51-0400,2014,ch_2RJXWUogzzxGnOEz1cuRokBE,stripe,0.0,[],False,[],,,,,0.0,Invoice Payment,paid,,GoFleet Corporation,2025-04-30 23:05:16.836836
1516568000117935742,55871,,INV-061557,2025-04-30,Stripe,Stripe,27.06,27.06,0.0,0.0,1516568000004396349,Payment Processing Stripe Account CAD,Stripe processing fees : $0.98 ,ch_2RJXWMogzzxGnOEz08RhHTDa,1516568000002792493,Country Woods Transport,2025-04-30T06:05:44-0400,2025-04-30T06:05:44-0400,9948,ch_2RJXWMogzzxGnOEz08RhHTDa,stripe,0.0,[],False,[],,,,,0.0,Invoice Payment,paid,,GoFleet Corporation,2025-04-30 23:05:16.836838
1516568000117935066,55870,,INV-061549,2025-04-30,Stripe,Stripe,293.91,406.56,0.0,0.0,1516568000004396339,Payment Processing Stripe Account USD,Stripe processing fees : $10.59 ,ch_2RJXW0ogzzxGnOEz1X0mm5xa,1516568000000209446,Peterson Farms Seed,2025-04-30T06:05:21-0400,2025-04-30T06:05:21-0400,8832,ch_2RJXW0ogzzxGnOEz1X0mm5xa,stripe,0.0,[],False,[],,,,,0.0,Invoice Payment,paid,,GoFleet Corporation,2025-04-30 23:05:16.836839
1516568000117927635,55869,,INV-061544,2025-04-30,Stripe,Stripe,87.13,87.13,0.0,0.0,1516568000004396349,Payment Processing Stripe Account CAD,Stripe processing fees : $2.48 ,ch_2RJXVkogzzxGnOEz0uMIm00p,1516568000000265456,Williams Form Engineering Corp.,2025-04-30T06:05:06-0400,2025-04-30T06:05:06-0400,6193,ch_2RJXVkogzzxGnOEz0uMIm00p,stripe,0.0,[],False,[],,,,,0.0,Invoice Payment,paid,,GoFleet Corporation,2025-04-30 23:05:16.836841
1516568000117927490,55868,,INV-061543,2025-04-30,Stripe,Stripe,628.29,628.29,0.0,0.0,1516568000004396349,Payment Processing Stripe Account CAD,Stripe processing fees : $16.01 ,ch_2RJXVfogzzxGnOEz0ktGI0UZ,1516568000000257371,Hydra Lawn & Garden Inc,2025-04-30T06:05:00-0400,2025-04-30T06:05:00-0400,1013,ch_2RJXVfogzzxGnOEz0ktGI0UZ,stripe,0.0,[],False,[],,,,,0.0,Invoice Payment,paid,,GoFleet Corporation,2025-04-30 23:05:16.836842
1516568000117927351,55867,,INV-061542,2025-04-30,Stripe,Stripe,558.6,558.6,0.0,0.0,1516568000004396349,Payment Processing Stripe Account CAD,Stripe processing fees : $14.27 ,ch_2RJXVaogzzxGnOEz0PO5jX2H,1516568000000258031,JPD Enterprises,2025-04-30T06:04:55-0400,2025-04-30T06:04:55-0400,0962,ch_2RJXVaogzzxGnOEz0PO5jX2H,stripe,0.0,[],False,[],,,,,0.0,Invoice Payment,paid,,GoFleet Corporation,2025-04-30 23:05:16.836843
1516568000117927150,55866,,INV-061540,2025-04-30,Stripe,Stripe,85.51,85.51,0.0,0.0,1516568000004396349,Payment Processing Stripe Account CAD,Stripe processing fees : $2.99 ,ch_2RJXVSogzzxGnOEz0jFEjzNx,1516568000000800585,Elite Residential Concierge Services Inc.,2025-04-30T06:04:48-0400,2025-04-30T06:04:48-0400,1030,ch_2RJXVSogzzxGnOEz0jFEjzNx,stripe,0.0,[],False,[],,,,,0.0,Invoice Payment,paid,,GoFleet Corporation,2025-04-30 23:05:16.836845
1516568000117908599,55894,,INV-061002,2025-04-30,Check,Check,2026.04,2793.35,0.0,0.0,1516568000001405181,RBC USD Chequing,,79009,1516568000006988569,"Town of Braintree, MA - DPW",2025-04-30T16:12:00-0400,2025-04-30T16:12:00-0400,,,,0.0,[],False,[],,,,,0.0,Invoice Payment,paid,,GoFleet Corporation,2025-04-30 23:05:16.836846
1516568000117908538,55893,,INV-059186,2025-04-30,Check,Check,75.0,103.4,0.0,0.0,1516568000001405181,RBC USD Chequing,,1556,1516568000000210046,Ray Hamilton Co,2025-04-30T16:11:41-0400,2025-04-30T16:11:41-0400,,,,0.0,[],False,[],,,,,0.0,Invoice Payment,paid,,GoFleet Corporation,2025-04-30 23:05:16.836848
1516568000117908485,55892,,INV-060831,2025-04-30,Check,Check,44.62,44.62,0.0,0.0,1516568000001405144,RBC CAD Chequing,,003024,1516568000000258271,KPS Forwarding,2025-04-30T16:11:15-0400,2025-04-30T16:11:15-0400,,,,0.0,[],False,[],,,,,0.0,Invoice Payment,paid,,GoFleet Corporation,2025-04-30 23:05:16.836849
