invoice_number,customer_name,due_date,total,balance,status,payment_mode,organization
INV-061538,Beltway Driving Academy,2025-05-29,3.69,3.69,sent,N/A,GoFleet Corporation
INV-061537,VLocity Group,2025-04-29,43.87,43.87,sent,N/A,GoFleet Corporation
INV-061536,The Suburban Plumbing Group LLC,2025-05-29,23.0,0.0,paid,N/A,GoFleet Corporation
INV-061535,MD3 Transport LLC,2025-05-29,25.0,0.0,paid,N/A,GoFleet Corporation
INV-061534,Dedicated Transport Inc.,2025-05-29,27.12,27.12,sent,N/A,GoFleet Corporation
INV-061533,Fastform ICF,2025-05-29,237.3,237.3,sent,N/A,GoFleet Corporation
INV-061532,The Electronic Recycling Association (ERA),2025-05-29,128.88,128.88,sent,N/A,GoFleet Corporation
INV-061531,Glowing Ember Enterprise Ltd,2025-04-29,37.59,0.0,paid,N/A,GoFleet Corporation
INV-061530,Mvcs Trucking Inc,2025-05-29,94.76,0.0,paid,N/A,GoFleet Corporation
INV-061529,Appalachian Oilfield Services,2025-05-29,1080.0,0.0,paid,N/A,GoFleet Corporation
INV-061528,Fairmount Global Freight LLC,2025-04-29,20.0,0.0,paid,N/A,GoFleet Corporation
INV-061527,CanCrete,2025-05-29,508.5,0.0,paid,N/A,GoFleet Corporation
INV-061526,Kenny’s trucking,2025-04-29,34.05,0.0,paid,N/A,GoFleet Corporation
INV-061525,Norden Windows and Doors Ltd,2025-05-29,112.77,0.0,paid,N/A,GoFleet Corporation
INV-061524,S&K Lock and Security Solutions LTD,2025-05-29,38.02,38.02,sent,N/A,GoFleet Corporation
INV-061523,LLS SERVICES LLC.,2025-05-29,20.6,0.0,paid,N/A,GoFleet Corporation
INV-061522,Futech A.S.C. Inc.,2025-05-29,25.2,25.2,sent,N/A,GoFleet Corporation
INV-061521,ECD Transport,2025-05-29,26.99,0.0,paid,N/A,GoFleet Corporation
INV-061520,Night Owl Logistics Corporation,2025-05-29,52.53,0.0,paid,N/A,GoFleet Corporation
INV-061519,Normtek,2025-05-29,96.6,96.6,sent,N/A,GoFleet Corporation
INV-061518,Corebuild Construction Ltd,2025-05-29,53.08,0.0,paid,N/A,GoFleet Corporation
INV-061517,F-Fine Towing,2025-05-29,26.25,26.25,sent,N/A,GoFleet Corporation
INV-061516,Terra Contracting,2025-05-29,3975.8,0.0,paid,N/A,GoFleet Corporation
INV-061515,Sherbourne Health Center,2025-05-29,39.55,39.55,sent,N/A,GoFleet Corporation
INV-061514,Dream Industrial LP,2025-05-29,73.5,73.5,sent,N/A,GoFleet Corporation
INV-061513,3G Packaging,2025-05-29,197.75,197.75,sent,N/A,GoFleet Corporation
INV-061512,Gentle Giant Moving Company,2025-05-29,2489.85,2489.85,sent,N/A,GoFleet Corporation
INV-061511,Golden Krust Corporate Office,2025-05-29,39.14,0.0,paid,N/A,GoFleet Corporation
INV-061510,EBS Geostructural INC.,2025-04-29,350.87,350.87,sent,N/A,GoFleet Corporation
INV-061509,Begley Overhead Doors Ltd,2025-05-29,1588.78,1588.78,sent,N/A,GoFleet Corporation
INV-061508,West Coast Trail Express,2025-05-29,150.36,0.0,paid,N/A,GoFleet Corporation
INV-061507,School District of Mystery Lake,2025-05-29,415.22,415.22,sent,N/A,GoFleet Corporation
INV-061506,"Seacore Seafood, Inc.",2025-05-29,1661.1,1661.1,sent,N/A,GoFleet Corporation
INV-061505,Town Of Oliver,2025-05-29,1178.1,1178.1,sent,N/A,GoFleet Corporation
INV-061504,Bulletproof Hotshot,2025-05-29,355.6,355.6,sent,N/A,GoFleet Corporation
INV-061503,VNH Enterprises,2025-04-28,122.16,122.16,overdue,N/A,GoFleet Corporation
INV-061502,Taracon Logistics,2025-05-28,148.0,0.0,paid,N/A,GoFleet Corporation
INV-061501,GoRiteway,2025-05-28,206.0,206.0,sent,N/A,GoFleet Corporation
INV-061500,My M&M Transport LLC,2025-05-28,21.0,21.0,sent,N/A,GoFleet Corporation
INV-061499,Shore Shotz llc,2025-04-28,23.69,23.69,overdue,N/A,GoFleet Corporation
INV-061498,MIAA express inc,2025-05-28,23.0,0.0,paid,N/A,GoFleet Corporation
INV-061497,Kruze LLC,2025-05-28,23.69,0.0,paid,N/A,GoFleet Corporation
INV-061496,Big Notes Trucking LLC,2025-05-28,14.93,14.93,sent,N/A,GoFleet Corporation
INV-061495,Advanced Industrial Group,2025-05-28,77.34,0.0,paid,N/A,GoFleet Corporation
INV-061494,Commercial Logistics 3 Corp,2025-05-28,936.0,936.0,sent,N/A,GoFleet Corporation
INV-061493,Jet Electrical Contractors Inc,2025-05-28,193.87,0.0,paid,N/A,GoFleet Corporation
INV-061492,Nesbitt Realty,2025-05-28,35.0,0.0,paid,N/A,GoFleet Corporation
INV-061491,LifeLink Foundation Inc.,2025-05-28,150.0,0.0,paid,N/A,GoFleet Corporation
INV-061490,SCI Funeral Services,2025-05-28,271.67,0.0,paid,N/A,GoFleet Corporation
INV-061489,B2A LLC,2025-05-28,248.69,248.69,sent,N/A,GoFleet Corporation
INV-061488,Brault Roofing,2025-05-28,81.36,81.36,sent,N/A,GoFleet Corporation
INV-061487,TH Port a Johns,2025-05-28,75.0,0.0,paid,N/A,GoFleet Corporation
INV-061486,Haberers Interment Services,2025-05-28,415.44,0.0,paid,N/A,GoFleet Corporation
INV-061485,"Amaze-U, Inc.",2025-05-28,46.2,0.0,paid,N/A,GoFleet Corporation
INV-061484,John Zubick Limited,2025-05-28,644.1,644.1,sent,N/A,GoFleet Corporation
INV-061483,Applewood Chevrolet Cadillac,2025-05-28,84.75,84.75,sent,N/A,GoFleet Corporation
INV-061482,MJ Vandamme Trucking,2025-05-28,2016.22,0.0,paid,N/A,GoFleet Corporation
INV-061481,Ottawa Dental Laboratory LLC,2025-05-28,1177.05,1177.05,sent,N/A,GoFleet Corporation
INV-061480,Pilot Freight Services,2025-05-28,25.9,25.9,sent,N/A,GoFleet Corporation
INV-061479,Mind and Behaviour Ltd,2025-05-28,69.94,0.0,paid,N/A,GoFleet Corporation
INV-061478,DBC Group,2025-05-28,135.96,0.0,paid,N/A,GoFleet Corporation
INV-061477,SDI Supplies,2025-05-28,249.73,249.73,sent,N/A,GoFleet Corporation
INV-061476,R Fraser Trucking,2025-05-28,175.17,0.0,paid,N/A,GoFleet Corporation
INV-061475,Lanz Bro Corp,2025-05-28,186.45,186.45,sent,N/A,GoFleet Corporation
INV-061474,Durham Fuels-Cooper Fuels,2025-05-28,593.25,593.25,sent,N/A,GoFleet Corporation
INV-061473,Poppacorn Corporation,2025-05-28,158.2,158.2,sent,N/A,GoFleet Corporation
INV-061472,BEWHERE INC,2025-05-28,0.0,0.0,paid,N/A,GoFleet Corporation
INV-061471,Race Transport Service,2025-05-28,199.32,0.0,paid,N/A,GoFleet Corporation
INV-061470,West Fraser Mills Ltd. (Chetwynd Forest Industries),2025-05-28,50.4,50.4,sent,N/A,GoFleet Corporation
INV-061469,Stidham Reconstruction & Investigation. LLC,2025-05-27,25.0,0.0,paid,N/A,GoFleet Corporation
INV-061468,Knight & Wilson Inc,2025-05-27,36.0,0.0,paid,N/A,GoFleet Corporation
INV-061467,JD logistics Inc,2025-05-27,110.78,0.0,paid,N/A,GoFleet Corporation
INV-061466,Baie Verte Peninsula Whoesalers LTD,2025-05-27,28.18,0.0,paid,N/A,GoFleet Corporation
INV-061465,IOTT,2025-05-27,2108.02,0.0,paid,N/A,GoFleet Corporation
INV-061464,Best Line Transportation,2025-05-27,237.93,0.0,paid,N/A,GoFleet Corporation
INV-061463,E.A. Shipman Electric Ltd.,2025-05-27,115.4,0.0,paid,N/A,GoFleet Corporation
INV-061462,Hearts for the Homeless,2025-05-27,72.87,0.0,paid,N/A,GoFleet Corporation
INV-061461,Rainbow Charter Service Inc,2025-05-27,26.59,0.0,paid,N/A,GoFleet Corporation
INV-061460,1966881 Alberta ltd,2025-05-27,37.55,37.55,sent,N/A,GoFleet Corporation
INV-061459,Venver Blinds Inc,2025-05-27,51.83,0.0,paid,N/A,GoFleet Corporation
INV-061458,Magneto Electric,2025-05-27,26.59,0.0,paid,N/A,GoFleet Corporation
INV-061457,BWH Events LLC dba Party Bound,2025-05-27,60.0,0.0,paid,N/A,GoFleet Corporation
INV-061456,"Lauderbach Builders Supply, Inc",2025-05-27,370.8,0.0,paid,N/A,GoFleet Corporation
INV-061455,Careline Transportation,2025-05-27,391.4,0.0,paid,N/A,GoFleet Corporation
INV-061454,Bold Canine Inc.,2025-05-27,50.78,0.0,paid,N/A,GoFleet Corporation
INV-061453,JOYCE FARMS,2025-05-27,412.73,412.73,sent,N/A,GoFleet Corporation
INV-061452,Remac Inc.,2025-05-27,1333.24,0.0,paid,N/A,GoFleet Corporation
INV-061451,Alliance Building Services,2025-05-27,216.3,0.0,paid,N/A,GoFleet Corporation
INV-061450,"Cream Co, LLC",2025-05-27,288.4,0.0,paid,N/A,GoFleet Corporation
INV-061449,"Contractor Transport, LLC",2025-05-27,2550.0,2550.0,sent,N/A,GoFleet Corporation
INV-061448,Eco Mini Bins Inc,2025-05-27,196.62,0.0,paid,N/A,GoFleet Corporation
INV-061447,City West Cable & Telephone Corp,2025-05-27,2354.63,2354.63,sent,N/A,GoFleet Corporation
INV-061446,PLAYFAIR COFFEE DISTRIBUTING LTD.,2025-05-27,113.57,113.57,sent,N/A,GoFleet Corporation
INV-061445,Tony Graham Toyota,2025-05-27,36.16,0.0,paid,N/A,GoFleet Corporation
INV-061444,West End Tire,2025-05-27,519.75,519.75,sent,N/A,GoFleet Corporation
INV-061443,H Breiter Window Cleaning ltd,2025-05-27,225.44,225.44,sent,N/A,GoFleet Corporation
INV-061442,John G Hofland,2025-05-27,397.26,0.0,paid,N/A,GoFleet Corporation
INV-061441,FSI Landscape Supply,2025-04-27,172.82,0.0,paid,N/A,GoFleet Corporation
INV-061440,Ultimate Exotics,2025-05-27,230.68,0.0,paid,N/A,GoFleet Corporation
INV-061439,Pro Star Excavating & Grading Ltd.,2025-05-27,1676.58,0.0,paid,N/A,GoFleet Corporation
INV-061438,The Garbage Man,2025-05-27,161.1,0.0,paid,N/A,GoFleet Corporation
INV-061437,Frechette Lawncare,2025-05-27,725.8,0.0,paid,N/A,GoFleet Corporation
INV-061436,VNH Enterprises,2025-05-26,15316.5,15316.5,sent,N/A,GoFleet Corporation
INV-061435,VNH Enterprises,2025-05-26,708.5,708.5,sent,N/A,GoFleet Corporation
INV-061434,Abrsh Trucking,2025-04-26,19.57,0.0,paid,N/A,GoFleet Corporation
INV-061433,PT Construction Group,2025-04-26,80.78,0.0,paid,N/A,GoFleet Corporation
INV-061432,Bayer CropScience Inc,2025-05-26,265.65,0.0,paid,N/A,GoFleet Corporation
INV-061431,All Grow Garden & Distribution,2025-05-26,53.08,0.0,paid,N/A,GoFleet Corporation
INV-061430,Forest Products Group,2025-05-26,80.0,0.0,paid,N/A,GoFleet Corporation
INV-061429,Premium Choice,2025-05-26,75.99,0.0,paid,N/A,GoFleet Corporation
INV-061428,Fiberco Solutions,2025-04-26,221.56,0.0,paid,N/A,GoFleet Corporation
INV-061427,TH Port a Johns,2025-05-26,31897.8,31897.8,sent,N/A,GoFleet Corporation
INV-061426,NW Foster Transport LLC,2025-05-26,252.92,0.0,paid,N/A,GoFleet Corporation
INV-061425,Starwood Landscape,2025-05-26,950.0,950.0,sent,N/A,GoFleet Corporation
INV-061424,Apple Mechanical Limited,2025-05-26,300.58,300.58,sent,N/A,GoFleet Corporation
INV-061423,Tubco Whirlpools LTD,2025-05-26,155.79,0.0,paid,N/A,GoFleet Corporation
INV-061422,AALBERS TOOL & MOLD INC,2025-05-26,98.31,98.31,sent,N/A,GoFleet Corporation
INV-061421,Aero,2025-05-26,247.1,0.0,paid,N/A,GoFleet Corporation
INV-061420,Rouge River Transportation,2025-05-26,551.8,551.8,sent,N/A,GoFleet Corporation
INV-061419,Zucco Construction Limited,2025-05-26,276.96,0.0,paid,N/A,GoFleet Corporation
INV-061418,CR&R Waste,2025-04-25,253.22,253.22,draft,N/A,GoFleet Corporation
INV-061417,JUST Logistics Group,2025-05-25,774.0,774.0,sent,N/A,GoFleet Corporation
INV-061416,Iori Plaster & Drywall Contractors Ltd.,2025-05-25,51.93,0.0,paid,N/A,GoFleet Corporation
