Invoice Number,Customer Name,Due Date,Amount Due,Status
INV-058815_,Upper Canada Forestry,2025-03-31,202.27,overdue
INV-058856_,Upper Canada Forestry,2025-03-31,437.31,overdue
INV-059308_,Upper Canada Forestry,2025-03-31,190.97,overdue
INV-061161,Total Street Maintenance Inc,2025-04-17,2348.14,overdue
INV-061101,Williams Multi Services LLC,2025-04-15,229.0,overdue
INV-060227-1,Darch Fire Inc,2025-04-18,341.26,overdue
INV-061025,Diabolical haulerz,2025-04-13,60.01,overdue
INV-061018,TRI-AIR SYSTEMS,2025-04-13,518.67,overdue
INV-060982,Down to Earth,2025-04-11,26.54,overdue
INV-060934,Advanced Fleet GPS,2025-04-09,145.77,overdue
INV-060917,Khobran Holdings Ltd,2025-04-09,76.38,overdue
INV-060904,University of Guelph,2025-04-09,144.64,overdue
INV-060796,Brad Aitken dba Brad Aitken & Sons Trucking,2025-04-05,47.38,overdue
INV-060743,Towtal Roadside Solutions Inc.,2025-04-04,1508.55,overdue
INV-060688,Peros Masonry,2025-04-02,339.0,overdue
INV-060662,8857121 Canada inc,2025-04-02,263.13,overdue
INV-060576,Talize,2025-03-31,51533.05,overdue
INV-060552,CR&R Waste,2025-03-30,30998.0,overdue
INV-060516,EBS Geostructural INC.,2025-03-29,350.87,overdue
INV-060509,Gibraltar Mine,2025-03-28,3758.72,overdue
INV-059809,colossus security,2025-04-04,2090.5,overdue
INV-060340,Lindsay Beer Equestrian,2025-04-22,30.51,overdue
INV-060334,A-1 Environmental Services,2025-04-22,683.66,overdue
INV-060329,Trash Inc,2025-04-22,105.93,overdue
INV-060327,Canadian Kraft Paper Industries Ltd.,2025-04-22,2155.65,overdue
INV-060324,TRS TRANSPORTATION LLC,2025-04-21,25.0,overdue
INV-060317,Roof Tile Management,2025-04-21,791.0,overdue
INV-060312,CanWing Travel LTD,2025-04-21,186.45,overdue
INV-060311,F W Transport,2025-04-21,23.69,overdue
INV-060306,Dom Amodeo Produce Ltd,2025-04-21,377.31,overdue
INV-060305,Central Arizona Transport,2025-04-21,2983.91,overdue
INV-060297,"JENOPTIK Smart Mobility Solutions, LLC",2025-04-21,744.67,overdue
INV-060294,Atlantic Alarm & Sound Ltd.,2025-04-21,316.25,overdue
INV-060293,Cascades Canada ULC,2025-04-20,320.07,overdue
INV-060278,Tolko Industries - High Level Woodlands (HLW),2025-04-20,9691.4,overdue
INV-060267,Mara Lumber,2025-04-19,115.32,overdue
INV-060266,"California Waste Services, LLC",2025-04-19,179.7,overdue
INV-060263,Nevius Entreprises LLC,2025-04-19,69.0,overdue
INV-060261,DS Pipe and Steel Supply,2025-04-19,665.0,overdue
INV-060259,"Lone Pine Bus Lines, Inc.",2025-04-19,370.8,overdue
INV-060244,BMR Logistics LLC,2025-04-19,173.0,overdue
INV-060239,VLocity Group,2025-04-19,515.0,overdue
INV-060231,Hastings Utilities Contracting,2025-04-19,1243.0,overdue
INV-060228,EBS Geostructural INC.,2025-04-18,626.02,overdue
INV-060226,Approved Site Services,2025-04-18,195.5,overdue
INV-060225,Regional Municipality of York,2025-04-18,1241.42,overdue
INV-060224,Joe Johnson Equipment,2025-04-18,2922.18,overdue
INV-060223,Foss National Leasing Ltd.,2025-04-18,609.07,overdue
INV-060222,Miller Waste Systems,2025-04-18,278.66,overdue
INV-060221,Miller Waste Systems,2025-04-18,209.05,overdue
INV-060220,Miller Waste Systems,2025-04-18,233.46,overdue
INV-060219,Miller Waste Systems,2025-04-18,606.36,overdue
INV-060214,CONTROLTEK INCORPORATED,2025-04-18,200.0,overdue
INV-060213,Bright Lumber Inc,2025-04-18,175.0,overdue
INV-060212,6251692 Canada Inc,2025-04-18,94.92,overdue
INV-060202,Bailey Distribution LLC,2025-04-18,204.0,overdue
INV-060199,Truck Transfer - Mississauga,2025-04-18,1245.26,overdue
INV-060196,Don Mashburn,2025-04-18,95.0,overdue
INV-060189,Premier Concrete Pumping,2025-04-18,1050.9,overdue
INV-060187,Speedy Transport Group Inc.,2025-04-17,36623.02,overdue
INV-060186,San Antonio Water System,2025-04-17,1700.0,overdue
INV-060179,Speedi Shuttle,2025-04-17,10800.0,overdue
INV-060173,Burnbrae Farms - Winnipeg (MB),2025-04-17,463.05,overdue
INV-060172,City of Moose Jaw,2025-04-17,5978.91,overdue
INV-060166,"Scapes, inc",2025-04-16,134.0,overdue
INV-060162,Speedy Transport Group Inc.,2025-04-16,762.75,overdue
INV-060160,Miller Waste Systems,2025-04-16,9540.0,overdue
INV-060158,City of Summerside,2025-04-16,368.0,overdue
INV-060157,Maxim Truck & Trailer,2025-04-16,2373.0,overdue
INV-060156,Foss National Leasing Ltd.,2025-04-16,218.09,overdue
INV-060155,Foss National Leasing Ltd.,2025-04-16,195.49,overdue
INV-060154,Foss National Leasing Ltd.,2025-04-16,1875.8,overdue
INV-060153,Foss National Leasing Ltd.,2025-04-16,1691.61,overdue
INV-060151,Speedy Transport Group Inc.,2025-04-16,3457.8,overdue
INV-060148,Lux Car Hire Corp,2025-04-16,533.15,overdue
INV-060145,San Antonio Water System,2025-04-16,1120.5,overdue
INV-060139,Ray Hamilton Co,2025-04-16,75.0,overdue
INV-060138,Hydro Hauling Operations,2025-04-16,1704.26,overdue
INV-060137,San Antonio Water System,2025-04-16,23576.8,overdue
INV-060134,Total Street Maintenance Inc,2025-03-17,2348.14,overdue
INV-060128,SKO Logistics,2025-04-15,11.84,overdue
INV-060122,High Value Logistix,2025-04-15,668.96,overdue
INV-060114,G&I Logistics,2025-04-15,1585.74,overdue
INV-060112,Total Landscape,2025-04-15,692.4,overdue
INV-060098,Bear Mountain Transport LLC,2025-04-14,23.0,overdue
INV-060094,Mill Street Brewery,2025-04-14,123.74,overdue
INV-060093,Guru Road Connections Ltd,2025-04-14,787.61,overdue
INV-060092,Drewlo Holdings Inc.,2025-04-14,1267.86,overdue
INV-060088,Fleetsource Leasing,2025-04-14,2239.25,overdue
INV-060087,Driver Safety Technology,2025-04-14,885.0,overdue
INV-060081,Foss National Leasing Ltd.,2025-04-14,24458.85,overdue
INV-060078,Beltway Driving Academy,2025-04-14,149.04,overdue
INV-060073,Larry Potter Magicians,2025-04-14,51.93,overdue
INV-060072,Parkview Building Supplies,2025-04-14,677.15,overdue
INV-060066,Mercedes-Benz Markham,2025-04-14,71.02,overdue
INV-060064,Mercedes-Benz The Queensway,2025-04-14,47.35,overdue
INV-060056,San Antonio Water System,2025-04-13,604.62,overdue
INV-060052,Fitzsimmons Hospital Services,2025-04-13,800.0,overdue
INV-060051,Fitzsimmons Hospital Services,2025-04-13,805.0,overdue
INV-060050,Approved Site Services,2025-04-13,800.0,overdue
INV-060049,Dufferin Peel Catholic District School Board,2025-04-13,361.6,overdue
INV-060047,James Thoume Construction Ltd,2025-04-13,33.9,overdue
INV-060045,5Starhaulers LLC,2025-04-13,23.0,overdue
INV-060041,Spectaire,2025-04-13,59.0,overdue
INV-060038,Martin Grove Volkswagen,2025-04-13,79.1,overdue
INV-060027,9736484 Canada Corporation,2025-04-12,54.24,overdue
INV-060011,TRI-AIR SYSTEMS,2025-03-13,488.16,overdue
INV-059984,Transervice Logistics Inc.,2025-04-10,675.0,overdue
INV-059974,San Antonio Water System,2025-04-10,4666.0,overdue
INV-059967,Nevada Department of Transportation (NDOT),2025-04-13,72686.25,overdue
INV-059947,Joe Johnson Equipment,2025-04-09,27835.29,overdue
INV-059943,Ellis Moving & Storage,2025-04-09,204.41,overdue
INV-059942,"Highland Global, Inc.",2025-04-09,91.53,overdue
INV-059940,Mint Tiny House Company,2025-04-09,27.48,overdue
INV-059926,Unique Store Fixtures Ltd,2025-04-09,152.33,overdue
INV-059924,Guru Road Connections Ltd,2025-04-09,932.4,overdue
INV-059921,Sydney Airport,2025-04-08,1815.0,overdue
INV-059886,Eurcan Int'l Trading & Logistics Co.,2025-04-08,7.72,overdue
INV-059876,A & A Transport LLC,2025-04-07,252.35,overdue
INV-059875,Vale Canada Limited,2025-04-07,41.48,overdue
INV-059857,Cascades Canada ULC,2025-04-06,5629.42,overdue
INV-059854,EVERGLADES HARVESTING INC,2025-04-06,350.0,overdue
INV-059836,Huron Alloys,2025-04-06,237.3,overdue
INV-059831,Mistic Hauling Inc,2025-04-05,87.15,overdue
INV-059821,Bins on Wheels,2025-04-05,26.44,overdue
INV-059810,Miller Waste Systems,2025-04-04,519.8,overdue
INV-059794,Cresco lines,2025-04-04,20.0,overdue
INV-059790,Imperial Fence,2025-04-04,38.42,overdue
INV-059786,Electrical Contracting,2025-04-04,719.58,overdue
INV-059754,dnata,2025-03-30,7500.0,overdue
INV-059753,dnata,2025-03-30,8640.0,overdue
INV-059752,dnata,2025-03-30,4739.55,overdue
INV-059751,dnata,2025-03-30,750.0,overdue
INV-059750,dnata,2025-03-30,11820.0,overdue
INV-059748,Freewind Bus Service,2025-04-02,113.0,overdue
INV-059743,CLK/Carl’s Jr./Jamba Juice,2025-04-02,210.0,overdue
INV-059720,FNBP 55 LLC,2025-04-01,90.9,overdue
INV-059706,"Partners, Corp.",2025-04-01,121.56,overdue
INV-059698,Hawthorne Foundation Inc.,2025-04-01,490.0,overdue
INV-059691,Whitelaw Transportation Solutions,2025-04-01,101.7,overdue
INV-059690,SASK FREIGHTLINES,2025-04-01,518.33,overdue
INV-059686,Precise Logistics Inc,2025-03-31,0.6,overdue
INV-059676,JRC Trucking LLC,2025-03-31,20.57,overdue
INV-059641,Burnbrae Farms - Mississauga (ON),2025-03-31,1736.25,overdue
INV-059633,VNH Enterprises,2025-03-30,791.0,overdue
INV-059631,Nevada Department of Transportation (NDOT),2025-04-02,72706.75,overdue
INV-059621,Dedicated Transport Inc.,2025-03-30,27.12,overdue
INV-059619,The Electronic Recycling Association (ERA),2025-03-30,128.88,overdue
INV-059610,Mag Mile Logistic,2025-03-30,46.0,overdue
INV-059574,ClearPath Utility Solutions LLC,2025-03-30,1715.7,overdue
INV-059565,LC Construction,2025-03-30,337.6,overdue
INV-059561,Beaver Valley Environmental LLC,2025-03-30,156.15,overdue
INV-059557,CR&R Waste,2025-02-28,30509.0,overdue
INV-059555,Pilot Freight Services,2025-03-30,25.9,overdue
INV-059487,VNH Enterprises,2025-03-29,290.0,overdue
INV-059484,Cascades Canada ULC,2025-03-29,45.2,overdue
INV-059476,Speedy Transport Group Inc.,2025-03-28,847.5,overdue
INV-059474,CR&R Waste,2025-03-28,1462.0,overdue
INV-059473,Mamba Global Logistics LLC,2025-03-28,23.0,overdue
INV-059456,Aecon Utilities (US) Ltd.,2025-03-27,146.0,overdue
INV-059439,JAW Logistics Corp,2025-03-27,29.85,overdue
INV-059425,PG Parks,2025-03-26,3075.0,overdue
INV-059405,NMPHC,2025-03-26,273.45,overdue
INV-059383,Trash Inc,2025-03-25,105.93,overdue
INV-059366,CanWing Travel LTD,2025-03-24,124.3,overdue
INV-059359,Central Arizona Transport,2025-03-24,2983.91,overdue
INV-059350,Tolko Industries - Southern Interior (SIW),2025-03-24,1140.5,overdue
INV-059346,Roof Pro Plus Home Improvements South,2025-03-23,169.5,overdue
INV-059340,Foss National Leasing Ltd.,2025-03-23,1323.23,overdue
INV-059339,Foss National Leasing Ltd.,2025-03-23,586.47,overdue
INV-059338,Foss National Leasing Ltd.,2025-03-23,1323.23,overdue
INV-059335,5Starhaulers LLC,2025-03-23,35.0,overdue
INV-059333,Foss National Leasing Ltd.,2025-03-23,770.66,overdue
INV-059323,Cascades Holding US Inc,2025-03-23,1290.5,overdue
INV-059303,Nevius Entreprises LLC,2025-03-22,69.0,overdue
INV-059301,DS Pipe and Steel Supply,2025-03-22,112.0,overdue
INV-059279,VLocity Group,2025-03-22,515.0,overdue
INV-059254,Smith Casing,2025-03-21,50.0,overdue
INV-059232,Truck Transfer - Mississauga,2025-03-21,1245.26,overdue
INV-059223,Miles Tire,2025-03-21,406.58,overdue
INV-059221,Cascades Canada ULC,2025-03-20,372.28,overdue
INV-059186,Ray Hamilton Co,2025-03-19,75.0,overdue
INV-059175,SKO Logistics,2025-03-18,23.69,overdue
INV-059161,G&I Logistics,2025-03-18,1594.74,overdue
INV-059141,Mill Street Brewery,2025-03-17,123.74,overdue
INV-059124,Beltway Driving Academy,2025-03-17,149.04,overdue
INV-059102,5Starhaulers LLC,2025-03-16,23.0,overdue
INV-059085,CR&R Waste,2025-03-15,1956.0,overdue
INV-059058,TRI-AIR SYSTEMS,2025-02-13,9.0,overdue
INV-059041,Oregon Department of Transportation (ODOT),2025-03-13,37972.2,overdue
INV-059038,Midnight Hauling,2025-03-14,36.0,overdue
INV-058993,"Highland Global, Inc.",2025-03-12,91.53,overdue
INV-058977,Unique Store Fixtures Ltd,2025-03-12,152.33,overdue
INV-058973,Regional Municipality of York,2025-03-11,565.0,overdue
INV-058971,Sydney Airport,2025-03-11,715.0,overdue
INV-058966,Gordon Devauld Trucking,2025-03-11,76.38,overdue
INV-058959,Hiller Truck Tech Inc.,2025-03-11,33.9,overdue
INV-058919,H & R Logistics LLC,2025-03-10,20.6,overdue
INV-058911,Vale Canada Limited,2025-03-10,624.89,overdue
INV-058909,GMH Fleet Services Inc,2025-03-10,109.63,overdue
