invoice_number,customer_name,due_date,total,balance,status,is_emailed,organization
INV-061709,Maple Lane Farm Service,2025-05-04,342.39,342.39,overdue,True,GoFleet Corporation
INV-061708,Towtal Roadside Solutions Inc.,2025-05-04,1508.55,1508.55,overdue,True,GoFleet Corporation
INV-061646,Pristine Pools,2025-05-02,355.95,355.95,overdue,True,GoFleet Corporation
INV-058591-REV,San Antonio Water System,2025-05-01,440.0,440.0,overdue,False,GoFleet Corporation
INV-061599,Je Taylor Plumbing,2025-05-01,147.0,147.0,overdue,True,GoFleet Corporation
INV-061589,Urban Garden,2025-05-01,254.25,254.25,overdue,True,GoFleet Corporation
INV-061548,CR&R Waste,2025-04-30,31503.0,31503.0,overdue,True,GoFleet Corporation
INV-061537,VLocity Group,2025-04-29,43.87,43.87,overdue,True,GoFleet Corporation
INV-061510,EBS Geostructural INC.,2025-04-29,350.87,350.87,overdue,True,GoFleet Corporation
INV-061499,Shore Shotz llc,2025-04-28,23.69,23.69,overdue,True,GoFleet Corporation
INV-061382,AC Transport,2025-04-24,180.8,180.8,overdue,True,GoFleet Corporation
INV-061344,Advanced Fleet GPS,2025-04-23,1457.7,1457.7,overdue,True,GoFleet Corporation
INV-061328,TECON FARM STRUCTURES,2025-04-23,169.5,169.5,overdue,True,GoFleet Corporation
INV-061323,Downtown Pallets,2025-04-23,203.4,203.4,overdue,True,GoFleet Corporation
INV-061161,Total Street Maintenance Inc,2025-04-17,2348.14,2348.14,overdue,True,GoFleet Corporation
INV-061025,Diabolical haulerz,2025-04-13,667.01,60.01,overdue,True,GoFleet Corporation
INV-060982,Down to Earth,2025-04-11,26.54,26.54,overdue,True,GoFleet Corporation
INV-060934,Advanced Fleet GPS,2025-04-09,145.77,145.77,overdue,True,GoFleet Corporation
INV-060904,University of Guelph,2025-04-09,144.64,144.64,overdue,True,GoFleet Corporation
INV-060776,Premier Concrete Pumping,2025-05-04,621.5,621.5,overdue,True,GoFleet Corporation
INV-060775,Oregon Department of Transportation (ODOT),2025-05-04,18691.33,18691.33,overdue,True,GoFleet Corporation
INV-060774,Speedy Transport Group Inc.,2025-05-04,206.79,206.79,overdue,True,GoFleet Corporation
INV-060772,Regional Municipality of York,2025-05-04,1715.85,1715.85,overdue,True,GoFleet Corporation
INV-060771,Speedy Transport Group Inc.,2025-05-04,9076.16,9076.16,overdue,True,GoFleet Corporation
INV-060770,Oregon Department of Transportation (ODOT),2025-05-04,550.0,550.0,overdue,True,GoFleet Corporation
INV-060757,Keister Miller Investments,2025-05-04,2293.98,2293.98,overdue,True,GoFleet Corporation
INV-060752,Approved Site Services,2025-05-04,2188.08,2188.08,overdue,True,GoFleet Corporation
INV-060751,Rogue Inc,2025-05-04,4022.24,4022.24,overdue,True,GoFleet Corporation
INV-060750,A1 Building Supplies Ltd.,2025-05-04,392.0,392.0,overdue,True,GoFleet Corporation
INV-060746,Burnbrae Farms - St. Zotique (QC),2025-05-04,1222.2,1222.2,overdue,True,GoFleet Corporation
INV-060743,Towtal Roadside Solutions Inc.,2025-04-04,1508.55,1508.55,overdue,True,GoFleet Corporation
INV-060741,Foss National Leasing Ltd.,2025-05-03,402.28,402.28,overdue,True,GoFleet Corporation
INV-060739,Miller Waste Systems,2025-05-03,158.2,158.2,overdue,True,GoFleet Corporation
INV-060738,"Seacore Seafood, Inc.",2025-05-03,282.5,282.5,overdue,True,GoFleet Corporation
INV-060737,Miller Waste Systems,2025-05-03,146.9,146.9,overdue,True,GoFleet Corporation
INV-060736,San Antonio Water System,2025-05-03,4360.4,4360.4,overdue,True,GoFleet Corporation
INV-060731,Foss National Leasing Ltd.,2025-05-03,1139.04,1139.04,overdue,True,GoFleet Corporation
