invoice_number,customer_name,due_date,total,balance,payment_mode,organization
INV-061536,The Suburban Plumbing Group LLC,2025-05-29,23.0,0.0,Stripe,GoFleet Corporation
INV-061535,MD3 Transport LLC,2025-05-29,25.0,0.0,Stripe,GoFleet Corporation
INV-061531,Glowing Ember Enterprise Ltd,2025-04-29,37.59,0.0,Stripe,GoFleet Corporation
INV-061530,Mvcs Trucking Inc,2025-05-29,94.76,0.0,Stripe,GoFleet Corporation
INV-061529,Appalachian Oilfield Services,2025-05-29,1080.0,0.0,Stripe,GoFleet Corporation
INV-061528,Fairmount Global Freight LLC,2025-04-29,20.0,0.0,Stripe,GoFleet Corporation
INV-061527,CanCrete,2025-05-29,508.5,0.0,Stripe,GoFleet Corporation
INV-061526,Kenny’s trucking,2025-04-29,34.05,0.0,Stripe,GoFleet Corporation
INV-061525,Norden Windows and Doors Ltd,2025-05-29,112.77,0.0,Stripe,GoFleet Corporation
INV-061523,LLS SERVICES LLC.,2025-05-29,20.6,0.0,Stripe,GoFleet Corporation
INV-061521,ECD Transport,2025-05-29,26.99,0.0,Stripe,GoFleet Corporation
INV-061520,Night Owl Logistics Corporation,2025-05-29,52.53,0.0,Stripe,GoFleet Corporation
INV-061518,Corebuild Construction Ltd,2025-05-29,53.08,0.0,Stripe,GoFleet Corporation
INV-061516,Terra Contracting,2025-05-29,3975.8,0.0,Stripe,GoFleet Corporation
INV-061511,Golden Krust Corporate Office,2025-05-29,39.14,0.0,Stripe,GoFleet Corporation
INV-061508,West Coast Trail Express,2025-05-29,150.36,0.0,Stripe,GoFleet Corporation
INV-061502,Taracon Logistics,2025-05-28,148.0,0.0,N/A,GoFleet Corporation
INV-061498,MIAA express inc,2025-05-28,23.0,0.0,Stripe,GoFleet Corporation
INV-061497,Kruze LLC,2025-05-28,23.69,0.0,Stripe,GoFleet Corporation
INV-061495,Advanced Industrial Group,2025-05-28,77.34,0.0,Stripe,GoFleet Corporation
INV-061493,Jet Electrical Contractors Inc,2025-05-28,193.87,0.0,Stripe,GoFleet Corporation
INV-061492,Nesbitt Realty,2025-05-28,35.0,0.0,Stripe,GoFleet Corporation
INV-061491,LifeLink Foundation Inc.,2025-05-28,150.0,0.0,Stripe,GoFleet Corporation
INV-061490,SCI Funeral Services,2025-05-28,271.67,0.0,Stripe,GoFleet Corporation
INV-061487,TH Port a Johns,2025-05-28,75.0,0.0,Stripe,GoFleet Corporation
INV-061486,Haberers Interment Services,2025-05-28,415.44,0.0,Stripe,GoFleet Corporation
INV-061485,"Amaze-U, Inc.",2025-05-28,46.2,0.0,Stripe,GoFleet Corporation
INV-061482,MJ Vandamme Trucking,2025-05-28,2016.22,0.0,Stripe,GoFleet Corporation
INV-061479,Mind and Behaviour Ltd,2025-05-28,69.94,0.0,Stripe,GoFleet Corporation
INV-061478,DBC Group,2025-05-28,135.96,0.0,Stripe,GoFleet Corporation
INV-061476,R Fraser Trucking,2025-05-28,175.17,0.0,Stripe,GoFleet Corporation
INV-061472,BEWHERE INC,2025-05-28,0.0,0.0,N/A,GoFleet Corporation
INV-061471,Race Transport Service,2025-05-28,199.32,0.0,Stripe,GoFleet Corporation
INV-061469,Stidham Reconstruction & Investigation. LLC,2025-05-27,25.0,0.0,Stripe,GoFleet Corporation
INV-061468,Knight & Wilson Inc,2025-05-27,36.0,0.0,Stripe,GoFleet Corporation
INV-061467,JD logistics Inc,2025-05-27,110.78,0.0,Stripe,GoFleet Corporation
INV-061466,Baie Verte Peninsula Whoesalers LTD,2025-05-27,28.18,0.0,Stripe,GoFleet Corporation
INV-061465,IOTT,2025-05-27,2108.02,0.0,Stripe,GoFleet Corporation
INV-061464,Best Line Transportation,2025-05-27,237.93,0.0,Stripe,GoFleet Corporation
INV-061463,E.A. Shipman Electric Ltd.,2025-05-27,115.4,0.0,Stripe,GoFleet Corporation
INV-061462,Hearts for the Homeless,2025-05-27,72.87,0.0,Stripe,GoFleet Corporation
INV-061461,Rainbow Charter Service Inc,2025-05-27,26.59,0.0,Stripe,GoFleet Corporation
INV-061459,Venver Blinds Inc,2025-05-27,51.83,0.0,Stripe,GoFleet Corporation
INV-061458,Magneto Electric,2025-05-27,26.59,0.0,Stripe,GoFleet Corporation
INV-061457,BWH Events LLC dba Party Bound,2025-05-27,60.0,0.0,Stripe,GoFleet Corporation
INV-061456,"Lauderbach Builders Supply, Inc",2025-05-27,370.8,0.0,Stripe,GoFleet Corporation
INV-061455,Careline Transportation,2025-05-27,391.4,0.0,Stripe,GoFleet Corporation
INV-061454,Bold Canine Inc.,2025-05-27,50.78,0.0,Stripe,GoFleet Corporation
INV-061452,Remac Inc.,2025-05-27,1333.24,0.0,Stripe,GoFleet Corporation
INV-061451,Alliance Building Services,2025-05-27,216.3,0.0,Stripe,GoFleet Corporation
INV-061450,"Cream Co, LLC",2025-05-27,288.4,0.0,Stripe,GoFleet Corporation
INV-061448,Eco Mini Bins Inc,2025-05-27,196.62,0.0,Stripe,GoFleet Corporation
INV-061445,Tony Graham Toyota,2025-05-27,36.16,0.0,Stripe,GoFleet Corporation
INV-061442,John G Hofland,2025-05-27,397.26,0.0,Stripe,GoFleet Corporation
INV-061441,FSI Landscape Supply,2025-04-27,172.82,0.0,Stripe,GoFleet Corporation
INV-061440,Ultimate Exotics,2025-05-27,230.68,0.0,Stripe,GoFleet Corporation
INV-061439,Pro Star Excavating & Grading Ltd.,2025-05-27,1676.58,0.0,Stripe,GoFleet Corporation
INV-061438,The Garbage Man,2025-05-27,161.1,0.0,Stripe,GoFleet Corporation
INV-061437,Frechette Lawncare,2025-05-27,725.8,0.0,Stripe,GoFleet Corporation
INV-061434,Abrsh Trucking,2025-04-26,19.57,0.0,Stripe,GoFleet Corporation
INV-061433,PT Construction Group,2025-04-26,80.78,0.0,Stripe,GoFleet Corporation
INV-061432,Bayer CropScience Inc,2025-05-26,265.65,0.0,Stripe,GoFleet Corporation
INV-061431,All Grow Garden & Distribution,2025-05-26,53.08,0.0,Stripe,GoFleet Corporation
INV-061430,Forest Products Group,2025-05-26,80.0,0.0,Stripe,GoFleet Corporation
INV-061429,Premium Choice,2025-05-26,75.99,0.0,Stripe,GoFleet Corporation
INV-061428,Fiberco Solutions,2025-04-26,221.56,0.0,Stripe,GoFleet Corporation
INV-061426,NW Foster Transport LLC,2025-05-26,252.92,0.0,Stripe,GoFleet Corporation
INV-061423,Tubco Whirlpools LTD,2025-05-26,155.79,0.0,Stripe,GoFleet Corporation
INV-061421,Aero,2025-05-26,247.1,0.0,Stripe,GoFleet Corporation
INV-061419,Zucco Construction Limited,2025-05-26,276.96,0.0,Stripe,GoFleet Corporation
