invoice_number,customer_name,due_date,total,balance,payment_mode,organization
INV-061416,Iori Plaster & Drywall Contractors Ltd.,2025-05-25,51.93,0.0,N/A,GoFleet Corporation
INV-061414,McCrea's ClimateCare,2025-05-25,67.8,0.0,N/A,GoFleet Corporation
INV-061413,PRO TILE (USD),2025-05-25,93.66,0.0,N/A,GoFleet Corporation
INV-061411,C+ Rodeos,2025-05-25,24.7,0.0,N/A,GoFleet Corporation
INV-061409,Xtreme Transport Inc,2025-05-25,30.0,0.0,N/A,GoFleet Corporation
INV-061408,The Car Shoppe,2025-05-25,23.69,0.0,N/A,GoFleet Corporation
INV-061407,Ballance Design,2025-05-25,20.06,0.0,N/A,GoFleet Corporation
INV-061403,CT Enterprises,2025-05-25,259.65,0.0,N/A,GoFleet Corporation
INV-061401,"MSA Transport Solutions, Inc.",2025-05-25,224.28,0.0,N/A,GoFleet Corporation
INV-061400,Precision Heating Cooling & Refrigeration (PHCRINC),2025-05-25,208.73,0.0,N/A,GoFleet Corporation
INV-061396,The Exterminators Inc,2025-05-25,588.54,0.0,N/A,GoFleet Corporation
INV-061395,Leggat Chevrolet Cadillac Buick GMC,2025-05-25,230.8,0.0,N/A,GoFleet Corporation
INV-061391,VAC Developments Ltd,2025-05-25,38.99,0.0,N/A,GoFleet Corporation
INV-061390,Direct Flow Inc,2025-05-25,28.84,0.0,N/A,GoFleet Corporation
INV-061388,Angela Fatigati,2025-05-25,66.93,0.0,N/A,GoFleet Corporation
INV-061384,Papenfuss Trucking,2025-05-24,165.0,0.0,N/A,GoFleet Corporation
INV-061383,Electrical Contracting,2025-05-24,238.88,0.0,N/A,GoFleet Corporation
INV-061376,Brentwood Livery,2025-04-24,29.38,0.0,N/A,GoFleet Corporation
INV-061371,Baca Freight,2025-05-24,30.0,0.0,N/A,GoFleet Corporation
INV-061370,Aoyee Royal International Travel,2025-05-24,26.54,0.0,N/A,GoFleet Corporation
INV-061368,Terre De La Prairies Farms Inc,2025-05-24,132.71,0.0,N/A,GoFleet Corporation
INV-061366,Select Premium Foods,2025-05-24,26.54,0.0,N/A,GoFleet Corporation
INV-061365,Triple Braided Cord Transport LLC,2025-05-24,25.75,0.0,N/A,GoFleet Corporation
INV-061364,M&M Logistics/Hotshot LLC,2025-05-24,47.38,0.0,N/A,GoFleet Corporation
INV-061363,Donnie Betts & Son,2025-05-24,36.05,0.0,N/A,GoFleet Corporation
INV-061362,Skyline Eco-Adventures LLC,2025-05-24,584.06,0.0,N/A,GoFleet Corporation
INV-061358,AG James Electrical,2025-05-24,119.44,0.0,N/A,GoFleet Corporation
INV-061353,Westmorland Fisheries Ltd.,2025-05-24,169.06,0.0,N/A,GoFleet Corporation
INV-061347,Blaine Brothers,2025-05-23,550.0,0.0,N/A,GoFleet Corporation
INV-061346,SMC Towing Group,2025-05-23,525.45,0.0,N/A,GoFleet Corporation
INV-058815_,Upper Canada Forestry,2025-03-31,202.27,0.0,N/A,GoFleet Corporation
INV-058856_,Upper Canada Forestry,2025-03-31,437.31,0.0,N/A,GoFleet Corporation
INV-059308_,Upper Canada Forestry,2025-03-31,190.97,0.0,N/A,GoFleet Corporation
INV-061338,Righteous Expediting LLC,2025-05-23,21.0,0.0,N/A,GoFleet Corporation
INV-061337,Rebar Delta Inc.,2025-05-23,33.9,0.0,N/A,GoFleet Corporation
INV-061336,FIRST HOME HEALTHCARE,2025-05-23,36.0,0.0,N/A,GoFleet Corporation
INV-061334,All Florida Rides LLC,2025-05-23,25.75,0.0,N/A,GoFleet Corporation
INV-061333,Zingo Transport,2025-05-23,23.69,0.0,N/A,GoFleet Corporation
INV-061331,Billings Construction,2025-05-23,54.24,0.0,N/A,GoFleet Corporation
INV-061330,R 7 Transport,2025-05-23,36.93,0.0,N/A,GoFleet Corporation
INV-061327,Fitzsimmons Hospital Services,2025-05-23,2421.53,0.0,N/A,GoFleet Corporation
INV-061326,Security Dynamics Corp.,2025-05-23,1566.63,0.0,N/A,GoFleet Corporation
INV-061321,Sun N Fun Pools & Spas,2025-05-23,0.0,0.0,N/A,GoFleet Corporation
INV-061319,Canadian Miles,2025-05-22,30.0,0.0,N/A,GoFleet Corporation
INV-061316,Allied freight,2025-05-22,71.07,0.0,N/A,GoFleet Corporation
INV-061315,Exploits Valley Paving LTD,2025-05-22,185.79,0.0,N/A,GoFleet Corporation
INV-061314,Omistaa Logistics (12231671 Canada Limited),2025-05-22,59.8,0.0,N/A,GoFleet Corporation
INV-061313,Point Contracting Inc.,2025-04-22,25.99,0.0,N/A,GoFleet Corporation
INV-061312,Magab Trucking,2025-04-22,28.85,0.0,N/A,GoFleet Corporation
INV-061310,Allen And Son LLC,2025-05-22,23.69,0.0,N/A,GoFleet Corporation
INV-061309,BRANDODN HAN,2025-05-22,23.69,0.0,N/A,GoFleet Corporation
INV-061308,Syntac Food Supply Chain,2025-05-22,207.72,0.0,N/A,GoFleet Corporation
INV-061307,Tim’s Enterprise,2025-05-22,25.78,0.0,N/A,GoFleet Corporation
INV-061304,"Winter Farm Services, LLC",2025-05-22,22.65,0.0,N/A,GoFleet Corporation
INV-061303,Crush on Niagara Wine Tours,2025-05-22,121.17,0.0,N/A,GoFleet Corporation
INV-061302,STS Canada,2025-05-22,338.64,0.0,N/A,GoFleet Corporation
INV-061301,Prestige Carpet & Duct Cleaning,2025-05-22,406.21,0.0,N/A,GoFleet Corporation
INV-061298,"Ciferno Cement Contracting, LLC",2025-05-22,2306.05,0.0,N/A,GoFleet Corporation
INV-061297,Poblocki Paving Corp,2025-05-22,8517.1,0.0,N/A,GoFleet Corporation
INV-061296,Medieval Times,2025-05-22,79.1,0.0,N/A,GoFleet Corporation
INV-061294,Synapse Electric Ltd,2025-05-22,242.34,0.0,N/A,GoFleet Corporation
INV-061293,The Tire Terminal,2025-05-22,601.64,0.0,N/A,GoFleet Corporation
INV-061290,Scugog Island First Nation,2025-05-22,833.19,0.0,N/A,GoFleet Corporation
INV-061283,1000140544 Ontario limited,2025-05-21,40.39,0.0,N/A,GoFleet Corporation
INV-061282,13575896 Canada Inc.,2025-05-21,131.57,0.0,N/A,GoFleet Corporation
INV-061281,Happy Fleet Transport LLC,2025-05-21,23.0,0.0,N/A,GoFleet Corporation
INV-061280,Hearts Foundation Inc.,2025-05-21,66.95,0.0,N/A,GoFleet Corporation
INV-061279,The Cadillac Ranch,2025-05-21,13.0,0.0,N/A,GoFleet Corporation
INV-061276,West Coast Commodities,2025-05-21,253.88,0.0,N/A,GoFleet Corporation
INV-061275,Invincible Garage,2025-05-21,93.8,0.0,N/A,GoFleet Corporation
INV-061274,MCGC Inc.,2025-05-21,36.05,0.0,N/A,GoFleet Corporation
INV-061272,Clarke Roller Rubber Ltd.,2025-05-21,40.39,0.0,N/A,GoFleet Corporation
INV-061270,Premier Coach,2025-05-21,242.34,0.0,N/A,GoFleet Corporation
INV-061269,JB Sales Ltd.,2025-05-21,35.46,0.0,N/A,GoFleet Corporation
INV-061268,Greater Toronto Fire Protection,2025-05-21,556.17,0.0,N/A,GoFleet Corporation
INV-061267,Zen Bus Lines Ltd.,2025-05-21,328.89,0.0,N/A,GoFleet Corporation
INV-061264,"California Waste Services, LLC",2025-05-20,179.7,0.0,N/A,GoFleet Corporation
INV-061262,Stealth contracting,2025-05-20,52.74,0.0,N/A,GoFleet Corporation
INV-061260,WaterDale,2025-04-20,110.78,0.0,N/A,GoFleet Corporation
INV-061258,IMG Petroleum Ltd,2025-05-20,55.4,0.0,N/A,GoFleet Corporation
INV-061257,"Lone Pine Bus Lines, Inc.",2025-05-20,370.8,0.0,N/A,GoFleet Corporation
INV-061256,National Express Transportation,2025-05-20,27.72,0.0,N/A,GoFleet Corporation
INV-061255,"Watts & Browning Engineers, Inc.",2025-05-20,61.8,0.0,N/A,GoFleet Corporation
INV-061254,Darch Fire Inc,2025-05-20,161.56,0.0,N/A,GoFleet Corporation
INV-061253,Miguel Sambrano,2025-05-20,25.8,0.0,N/A,GoFleet Corporation
INV-061252,Concept Drilling Services,2025-05-20,52.9,0.0,N/A,GoFleet Corporation
INV-061251,Jp welding,2025-05-20,27.72,0.0,N/A,GoFleet Corporation
INV-061250,Just in Time Express Inc,2025-05-20,25.99,0.0,N/A,GoFleet Corporation
INV-061249,Kennedy Mechanical Limited,2025-05-20,184.0,0.0,N/A,GoFleet Corporation
INV-061248,Touchwood Movers,2025-05-20,155.94,0.0,N/A,GoFleet Corporation
INV-061246,BP Welding Heavy Repairs,2025-05-20,51.98,0.0,N/A,GoFleet Corporation
INV-061245,BMF Fabrications Ltd.,2025-05-20,79.67,0.0,N/A,GoFleet Corporation
INV-061244,Super Stone Trading Corp,2025-05-20,51.98,0.0,N/A,GoFleet Corporation
INV-061243,LeRoy Emergency Ambulance Service,2025-05-20,175.0,0.0,N/A,GoFleet Corporation
INV-061241,Western Dry Ice Blasting Inc,2025-05-20,58.0,0.0,N/A,GoFleet Corporation
INV-061240,Invictus Technologies,2025-05-20,11.87,0.0,N/A,GoFleet Corporation
INV-061238,ACE MOTOR GROUP,2025-05-20,401.7,0.0,N/A,GoFleet Corporation
INV-061235,2725312 Canada Inc c/o QuadReal Property Group,2025-05-20,294.85,0.0,N/A,GoFleet Corporation
INV-061234,General Moving Carriers,2025-05-20,255.44,0.0,N/A,GoFleet Corporation
INV-061233,Royal Plumbing Services,2025-05-20,181.53,0.0,N/A,GoFleet Corporation
INV-061232,Superior Harvest Foods Inc,2025-05-20,256.43,0.0,N/A,GoFleet Corporation
INV-061230,Pro Tire Group Inc,2025-05-20,540.07,0.0,N/A,GoFleet Corporation
INV-061228,Highend Transport,2025-05-20,1314.58,0.0,N/A,GoFleet Corporation
INV-061227,Court Surface Specialists Ltd.,2025-05-20,697.76,0.0,N/A,GoFleet Corporation
INV-061225,Rampage Hauling Service,2025-05-19,31.5,0.0,N/A,GoFleet Corporation
INV-061224,SMC Towing Group,2025-05-19,249.26,0.0,N/A,GoFleet Corporation
INV-061223,Bodega Club,2025-05-19,82.4,0.0,N/A,GoFleet Corporation
INV-061222,Ethnic Supermarket,2025-04-19,51.98,0.0,N/A,GoFleet Corporation
INV-061221,TK Liquidation and Auction Limited,2025-04-19,40.39,0.0,N/A,GoFleet Corporation
INV-061220,Star Security Inc,2025-04-19,160.72,0.0,N/A,GoFleet Corporation
INV-061219,YOP Installations,2025-05-19,36.92,0.0,N/A,GoFleet Corporation
INV-061217,Picture Perfect Welding Inc,2025-05-19,13.85,0.0,N/A,GoFleet Corporation
INV-061216,Sevroc inc,2025-05-19,90.64,0.0,N/A,GoFleet Corporation
INV-061215,"Just Solutions, Inc.",2025-05-19,313.12,0.0,N/A,GoFleet Corporation
INV-061213,AST Express,2025-05-19,1606.8,0.0,N/A,GoFleet Corporation
