invoice_number,customer_name,due_date,total,balance,status,payment_mode,organization
INV-010869,Premier Wireless,2025-04-29,529.5,529.5,sent,N/A,Zenduit Corporation
INV-010868,acm servicios multiples,2025-05-29,69.09,0.0,paid,N/A,Zenduit Corporation
INV-010867,http://www.argosconnected.com,2025-05-29,100.0,0.0,paid,N/A,Zenduit Corporation
INV-010866,"Badia Spices, LLC. (T-Mobile Client)",2025-05-29,432.0,432.0,sent,N/A,Zenduit Corporation
INV-010865,Financial Technology Solutions International (T-Mobile Customer),2025-05-29,1261.0,0.0,paid,N/A,Zenduit Corporation
INV-010864,Robert J. Devereaux Corp.,2025-05-29,198.0,0.0,paid,N/A,Zenduit Corporation
INV-010863,Traxxis GPS Solutions,2025-05-28,505.0,505.0,sent,N/A,Zenduit Corporation
INV-010862,Nuclear Tattoo Medical Supply INC.,2025-05-28,90.0,90.0,sent,N/A,Zenduit Corporation
INV-010861,SSC International (T-Mobile Client),2025-05-28,60.0,0.0,paid,N/A,Zenduit Corporation
INV-010860,Trulite Glass and Aluminum Solutions Canada,2025-05-27,223.65,223.65,sent,N/A,Zenduit Corporation
INV-010859,Worldwide Recovery (T-Mobile Client),2025-05-27,240.0,240.0,sent,N/A,Zenduit Corporation
INV-010858,Magic Metals,2025-05-27,240.0,240.0,sent,N/A,Zenduit Corporation
INV-010857,Arias Farms,2025-05-26,50.0,0.0,paid,N/A,Zenduit Corporation
INV-010856,Merrill Steel Inc (Fiix Lead),2025-05-26,72.0,0.0,paid,N/A,Zenduit Corporation
INV-010855,EAGLEi GPS,2025-05-26,1517.88,1517.88,sent,N/A,Zenduit Corporation
INV-010854,EMS Technology Solutions LLC/ Operative IQ,2025-05-26,477.0,0.0,paid,N/A,Zenduit Corporation
INV-010853,"Fleet Nav Systems : Fleet Nav Systems, LLC.",2025-04-25,0.0,0.0,paid,N/A,Zenduit Corporation
INV-010852,"Paper Cuts, Inc. (T-Mobile Customer)",2025-05-25,131.89,0.0,paid,N/A,Zenduit Corporation
INV-010851,Hagerstown Fire Department,2025-05-25,654.57,654.57,sent,N/A,Zenduit Corporation
INV-010850,Administration of Fleets SA de CV,2025-05-25,735.0,0.0,paid,N/A,Zenduit Corporation
INV-010849,"TrackCam, LLC",2025-04-24,81475.0,81475.0,overdue,N/A,Zenduit Corporation
INV-010848,Coopers Petroleum (T-Mobile Customer),2025-05-24,219.66,0.0,paid,N/A,Zenduit Corporation
INV-010847,Solugaz Inc (Fiix Client),2025-05-24,238.74,238.74,sent,N/A,Zenduit Corporation
INV-010846,VLC,2025-05-23,90.0,90.0,sent,N/A,Zenduit Corporation
INV-010845,SAC Wireless,2025-05-23,25.0,0.0,paid,N/A,Zenduit Corporation
INV-010844,Meridith Baer Home (T-Mobile Client),2025-05-23,449.0,449.0,sent,N/A,Zenduit Corporation
INV-010843,Precise Fleet Tracking Solutions,2025-05-23,487.5,487.5,sent,N/A,Zenduit Corporation
INV-010842,Precise Fleet Tracking Solutions,2025-05-23,1486.0,1486.0,sent,N/A,Zenduit Corporation
INV-010841,Bital Services Inc,2025-05-23,365.0,365.0,sent,N/A,Zenduit Corporation
INV-010840,Traxxis GPS Solutions,2025-05-23,57390.0,57390.0,sent,N/A,Zenduit Corporation
INV-010839,GISCAD Limited,2025-05-23,351.99,351.99,sent,N/A,Zenduit Corporation
INV-010838,"TrackCam, LLC",2025-05-23,325.0,325.0,sent,N/A,Zenduit Corporation
INV-010837,"CAL-STATE AUTO PARTS, INC. (T-Mobile Customer)",2025-05-23,1510.0,1510.0,sent,N/A,Zenduit Corporation
INV-010836,H.T. Hackney,2025-05-23,578.55,578.55,sent,N/A,Zenduit Corporation
INV-010835,Premier Truck Group,2025-05-23,2937.44,2937.44,sent,N/A,Zenduit Corporation
INV-010834,DE VRIES TRANSPORT LLC (T-Mobile Customer),2025-05-22,36.0,0.0,paid,N/A,Zenduit Corporation
INV-010833,Pontrelli & Laricchia (T-Mobile Customer),2025-05-22,60.0,0.0,paid,N/A,Zenduit Corporation
INV-010832,Le Groupe ESSA Inc. (Fiix Client),2025-05-22,265.77,0.0,paid,N/A,Zenduit Corporation
INV-010831,Global Plumbing & Fire Supply (T-Mobile Customer),2025-05-22,190.0,0.0,paid,N/A,Zenduit Corporation
INV-010830,DBC Group,2025-05-22,174.02,0.0,paid,N/A,Zenduit Corporation
INV-010829,"Welch Excavation & Utility Company, Inc.",2025-05-22,471.0,0.0,paid,N/A,Zenduit Corporation
INV-010828,The Three C's Properties Inc,2025-05-22,726.5,0.0,paid,N/A,Zenduit Corporation
INV-010827,Trulite Glass and Aluminum Solutions,2025-05-22,7150.0,7150.0,sent,N/A,Zenduit Corporation
INV-010826,Neotech,2025-05-21,249.0,0.0,paid,N/A,Zenduit Corporation
INV-010825,Biomedical Waste Disposal (T-Mobile Client),2025-05-21,144.0,0.0,paid,N/A,Zenduit Corporation
INV-010824,Locke Supply (T-Mobile Customer),2025-05-21,1295.0,1295.0,sent,N/A,Zenduit Corporation
INV-010823,Hight Logistics (Old T-Mobile Client - Now Verizon ),2025-05-21,312.0,0.0,paid,N/A,Zenduit Corporation
INV-010822,Dynasty Communications,2025-05-21,90.0,90.0,sent,N/A,Zenduit Corporation
INV-010821,McClay's Transportation Ltd.,2025-05-20,612.57,0.0,paid,N/A,Zenduit Corporation
INV-010820,Fleet Shield,2025-05-20,195.0,0.0,paid,N/A,Zenduit Corporation
INV-010819,Henry & Henry Inc.,2025-05-20,336.0,0.0,paid,N/A,Zenduit Corporation
INV-010818,GotPrint,2025-05-20,108.0,0.0,paid,N/A,Zenduit Corporation
INV-010817,Four Seasons Landscape and Property Services,2025-05-19,90.0,0.0,paid,N/A,Zenduit Corporation
INV-010816,Incotec,2025-05-19,174.0,174.0,sent,N/A,Zenduit Corporation
INV-010815,Velocity Rail Solution,2025-05-19,8260.0,8260.0,sent,N/A,Zenduit Corporation
INV-010814,Meridith Baer Home (T-Mobile Client),2025-05-18,300.0,0.0,paid,N/A,Zenduit Corporation
INV-010813,Dynasty Communications,2025-05-18,72.0,72.0,sent,N/A,Zenduit Corporation
INV-010812,Hawkeye Electronic Security,2025-05-17,0.0,0.0,paid,N/A,Zenduit Corporation
INV-010811,Lavish Lifestyles Concierge,2025-05-17,0.0,0.0,paid,N/A,Zenduit Corporation
INV-010810,"Kenworth Northeast Group, Inc.",2025-05-17,0.0,0.0,paid,N/A,Zenduit Corporation
INV-010809,OnTrak Solutions,2025-05-17,0.0,0.0,paid,N/A,Zenduit Corporation
INV-010808,HBC Distributors (dba IPN Express) T-Mobile Customer,2025-05-17,0.0,0.0,paid,N/A,Zenduit Corporation
INV-010807,Incident Clear,2025-05-17,0.0,0.0,paid,N/A,Zenduit Corporation
INV-010806,Hagerstown Fire Department,2025-05-17,0.0,0.0,paid,N/A,Zenduit Corporation
INV-010805,Traxxis GPS Solutions,2025-05-17,0.0,0.0,paid,N/A,Zenduit Corporation
