invoice_number,customer_name,due_date,total,balance,payment_mode,organization
INV-010853,"Fleet Nav Systems : Fleet Nav Systems, LLC.",2025-04-25,0.0,0.0,N/A,Zenduit Corporation
INV-010852,"Paper Cuts, Inc. (T-Mobile Customer)",2025-05-25,131.89,0.0,N/A,Zenduit Corporation
INV-010850,Administration of Fleets SA de CV,2025-05-25,735.0,0.0,N/A,Zenduit Corporation
INV-010848,Coopers Petroleum (T-Mobile Customer),2025-05-24,219.66,0.0,N/A,Zenduit Corporation
INV-010845,SAC Wireless,2025-05-23,25.0,0.0,N/A,Zenduit Corporation
INV-010834,DE VRIES TRANSPORT LLC (T-Mobile Customer),2025-05-22,36.0,0.0,N/A,Zenduit Corporation
INV-010833,Pontrelli & Laricchia (T-Mobile Customer),2025-05-22,60.0,0.0,N/A,Zenduit Corporation
INV-010832,Le Groupe ESSA Inc. (Fiix Client),2025-05-22,265.77,0.0,N/A,Zenduit Corporation
INV-010831,Global Plumbing & Fire Supply (T-Mobile Customer),2025-05-22,190.0,0.0,N/A,Zenduit Corporation
INV-010830,DBC Group,2025-05-22,174.02,0.0,N/A,Zenduit Corporation
INV-010829,"Welch Excavation & Utility Company, Inc.",2025-05-22,471.0,0.0,N/A,Zenduit Corporation
INV-010828,The Three C's Properties Inc,2025-05-22,726.5,0.0,N/A,Zenduit Corporation
INV-010826,Neotech,2025-05-21,249.0,0.0,N/A,Zenduit Corporation
INV-010825,Biomedical Waste Disposal (T-Mobile Client),2025-05-21,144.0,0.0,N/A,Zenduit Corporation
INV-010823,Hight Logistics (Old T-Mobile Client - Now Verizon ),2025-05-21,312.0,0.0,N/A,Zenduit Corporation
INV-010821,McClay's Transportation Ltd.,2025-05-20,612.57,0.0,N/A,Zenduit Corporation
INV-010820,Fleet Shield,2025-05-20,195.0,0.0,N/A,Zenduit Corporation
INV-010819,Henry & Henry Inc.,2025-05-20,336.0,0.0,N/A,Zenduit Corporation
INV-010818,GotPrint,2025-05-20,108.0,0.0,N/A,Zenduit Corporation
INV-010817,Four Seasons Landscape and Property Services,2025-05-19,90.0,0.0,N/A,Zenduit Corporation
INV-010814,Meridith Baer Home (T-Mobile Client),2025-05-18,300.0,0.0,N/A,Zenduit Corporation
INV-010812,Hawkeye Electronic Security,2025-05-17,0.0,0.0,N/A,Zenduit Corporation
INV-010811,Lavish Lifestyles Concierge,2025-05-17,0.0,0.0,N/A,Zenduit Corporation
INV-010810,"Kenworth Northeast Group, Inc.",2025-05-17,0.0,0.0,N/A,Zenduit Corporation
INV-010809,OnTrak Solutions,2025-05-17,0.0,0.0,N/A,Zenduit Corporation
INV-010808,HBC Distributors (dba IPN Express) T-Mobile Customer,2025-05-17,0.0,0.0,N/A,Zenduit Corporation
INV-010807,Incident Clear,2025-05-17,0.0,0.0,N/A,Zenduit Corporation
INV-010806,Hagerstown Fire Department,2025-05-17,0.0,0.0,N/A,Zenduit Corporation
INV-010805,Traxxis GPS Solutions,2025-05-17,0.0,0.0,N/A,Zenduit Corporation
INV-010804,APC Transport (T-Mobile Client),2025-05-17,0.0,0.0,N/A,Zenduit Corporation
INV-010803,Incident Clear - Florida,2025-05-17,0.0,0.0,N/A,Zenduit Corporation
INV-010798,NY TRANSPORT INC (T-Mobile Client),2025-05-16,30.0,0.0,N/A,Zenduit Corporation
INV-010797,"Midwest Environmental Services, Inc.",2025-05-16,240.0,0.0,N/A,Zenduit Corporation
INV-010794,"Participation House, Markham",2025-05-16,175.15,0.0,N/A,Zenduit Corporation
INV-010793,Miami LNG - FIXX/ Samsara,2025-05-15,20.0,0.0,N/A,Zenduit Corporation
INV-010790,Premier Truck Group,2025-05-14,0.0,0.0,N/A,Zenduit Corporation
INV-010789,Assetflo (Unique Partnership Agreement),2025-05-14,153.91,0.0,N/A,Zenduit Corporation
INV-010787,Super Win Enterprises,2025-05-14,90.0,0.0,N/A,Zenduit Corporation
INV-010785,Smart MUBE,2025-04-13,270.0,0.0,N/A,Zenduit Corporation
INV-010784,Port Connect Intermodel,2025-05-13,60.0,0.0,N/A,Zenduit Corporation
INV-010783,Dynasty provisions,2025-05-12,60.0,0.0,N/A,Zenduit Corporation
INV-010782,HBC Distributors (dba IPN Express) T-Mobile Customer,2025-05-12,392.0,0.0,N/A,Zenduit Corporation
INV-010780,City of Vernon,2025-05-12,175.14,0.0,N/A,Zenduit Corporation
INV-010778,SoCal Rentals (T-Mobile Client),2025-05-10,36.0,0.0,N/A,Zenduit Corporation
INV-010777,Santosa Delivery (T-Mobile Client),2025-05-10,108.0,0.0,N/A,Zenduit Corporation
INV-010775,Northern Business Intelligence,2025-05-10,89.7,0.0,N/A,Zenduit Corporation
INV-010772,"Techweb of Puerto Rico, Inc.",2025-05-09,489.0,0.0,N/A,Zenduit Corporation
INV-010770,EcoTrack Fleet Management,2025-05-09,60.0,0.0,N/A,Zenduit Corporation
INV-010769,Line Drive Trucking (T-Mobile Customer),2025-05-09,1500.0,0.0,N/A,Zenduit Corporation
INV-010768,Platinum Energy Services,2025-05-09,387.0,0.0,N/A,Zenduit Corporation
INV-010767,GPS to GO Ltd.,2025-05-09,434.52,0.0,N/A,Zenduit Corporation
INV-010766,ASAP Trucking Company LLC,2025-05-09,392.0,0.0,N/A,Zenduit Corporation
INV-010763,Apex Wireless,2025-05-08,565.0,0.0,N/A,Zenduit Corporation
INV-010762,QUALTRACKS,2025-05-08,21.5,0.0,N/A,Zenduit Corporation
INV-010760,Grupo Invictus,2025-05-07,23.21,0.0,N/A,Zenduit Corporation
INV-010758,Genesis Dispatch,2025-05-07,548.55,0.0,N/A,Zenduit Corporation
INV-010757,RMA Testing Company Zenduit,2025-05-07,979.34,0.0,N/A,Zenduit Corporation
INV-010755,Hawkeye Electronic Security,2025-05-07,475.0,0.0,N/A,Zenduit Corporation
INV-010754,Precise Fleet Tracking Solutions,2025-05-06,5.75,0.0,N/A,Zenduit Corporation
INV-010753,"Georgia Pack & Load Moving and Storage, Inc.",2025-04-06,243.0,0.0,N/A,Zenduit Corporation
INV-010752,Cal Freight,2025-05-06,30.0,0.0,N/A,Zenduit Corporation
INV-010750,Bital Services Inc,2025-05-05,448.93,0.0,N/A,Zenduit Corporation
INV-010749,Lee Fish USA (T-Mobile Client),2025-05-05,83.93,0.0,N/A,Zenduit Corporation
INV-010748,Arjan Trans Inc (T-Mobile Client),2025-05-05,78.0,0.0,N/A,Zenduit Corporation
INV-010747,GLEZ Trucking (T-Mobile Customer),2025-05-05,80.0,0.0,N/A,Zenduit Corporation
INV-010743,LMD Integrated Logistics (USD),2025-05-04,444.0,0.0,N/A,Zenduit Corporation
INV-010742,The Standard Design Group (T-Mobile Client),2025-05-04,96.0,0.0,N/A,Zenduit Corporation
INV-010740,"Advantage Fleet, LLC.",2025-05-04,90.0,0.0,N/A,Zenduit Corporation
INV-010735,JLRG Consulting (Tel-Sol),2025-05-03,4298.35,0.0,N/A,Zenduit Corporation
INV-010734,ARTHOFER FINANCIAL,2025-05-03,15.0,0.0,N/A,Zenduit Corporation
INV-010732,ENS Transport (T-Mobile Client),2025-05-03,72.0,0.0,N/A,Zenduit Corporation
INV-010731,GA Department of Driver Services,2025-05-03,3864.0,0.0,N/A,Zenduit Corporation
INV-010729,Trulite Glass and Aluminum Solutions,2025-05-02,0.0,0.0,N/A,Zenduit Corporation
INV-010724,"California Waste Services, LLC(OLD)",2025-05-01,1650.0,0.0,N/A,Zenduit Corporation
INV-010723,Pun Enterprises Incorporated,2025-05-01,36.0,0.0,N/A,Zenduit Corporation
INV-010722,College Hunks Hauling Junk and Moving of Grand Rapids,2025-05-01,260.0,0.0,N/A,Zenduit Corporation
INV-010721,Finger Lakes TC,2025-05-01,125.0,0.0,N/A,Zenduit Corporation
INV-010719,Aalto Technologies,2025-05-01,142.3,0.0,N/A,Zenduit Corporation
INV-010718,KELLY TOURS,2025-05-01,420.0,0.0,N/A,Zenduit Corporation
INV-010714,Dynasty Communications,2025-04-29,36.0,0.0,N/A,Zenduit Corporation
INV-010713,Dynasty Communications,2025-04-29,738.0,0.0,N/A,Zenduit Corporation
INV-010712,WEX INC,2025-04-29,1352.0,0.0,N/A,Zenduit Corporation
INV-010710,"Pat's Offroad, Inc.",2025-04-29,100.0,0.0,N/A,Zenduit Corporation
INV-010708,http://www.argosconnected.com,2025-04-28,100.0,0.0,N/A,Zenduit Corporation
INV-010707,"Badia Spices, LLC. (T-Mobile Client)",2025-04-28,432.0,0.0,N/A,Zenduit Corporation
INV-010706,Financial Technology Solutions International (T-Mobile Customer),2025-04-28,1261.0,0.0,N/A,Zenduit Corporation
INV-010705,Robert J. Devereaux Corp.,2025-04-28,198.0,0.0,N/A,Zenduit Corporation
INV-010704,Traxxis GPS Solutions,2025-04-28,34225.5,0.0,N/A,Zenduit Corporation
INV-010703,SSC International (T-Mobile Client),2025-04-27,60.0,0.0,N/A,Zenduit Corporation
INV-010700,Magic Metals,2025-04-26,240.0,0.0,N/A,Zenduit Corporation
INV-010699,Total Protection Security Systems L.L.C,2025-04-25,650.0,0.0,N/A,Zenduit Corporation
INV-010698,Precise Fleet Tracking Solutions,2025-04-25,0.0,0.0,N/A,Zenduit Corporation
INV-010695,Traxxis GPS Solutions,2025-04-25,20530.0,0.0,N/A,Zenduit Corporation
INV-010694,Meridith Baer Home (T-Mobile Client),2025-04-25,115.0,0.0,N/A,Zenduit Corporation
INV-010693,Arias Farms,2025-04-25,50.0,0.0,N/A,Zenduit Corporation
INV-010692,Merrill Steel Inc (Fiix Lead),2025-04-25,72.0,0.0,N/A,Zenduit Corporation
INV-010690,EMS Technology Solutions LLC/ Operative IQ,2025-04-25,477.0,0.0,N/A,Zenduit Corporation
INV-010688,"Paper Cuts, Inc. (T-Mobile Customer)",2025-04-24,131.89,0.0,N/A,Zenduit Corporation
INV-010686,Administration of Fleets SA de CV,2025-04-24,705.0,0.0,N/A,Zenduit Corporation
INV-010685,Traxxis GPS Solutions,2025-04-23,715.0,0.0,N/A,Zenduit Corporation
INV-010684,"TrackCam, LLC",2025-04-23,415.0,0.0,N/A,Zenduit Corporation
INV-010683,Coopers Petroleum (T-Mobile Customer),2025-04-23,219.66,0.0,N/A,Zenduit Corporation
INV-010682,Solugaz Inc (Fiix Client),2025-04-23,238.74,0.0,N/A,Zenduit Corporation
INV-010680,H.T. Hackney,2025-04-22,578.55,0.0,N/A,Zenduit Corporation
INV-010677,DE VRIES TRANSPORT LLC (T-Mobile Customer),2025-04-21,36.0,0.0,N/A,Zenduit Corporation
INV-010676,Pontrelli & Laricchia (T-Mobile Customer),2025-04-21,60.0,0.0,N/A,Zenduit Corporation
INV-010675,Le Groupe ESSA Inc. (Fiix Client),2025-04-21,265.77,0.0,N/A,Zenduit Corporation
INV-010674,Global Plumbing & Fire Supply (T-Mobile Customer),2025-04-21,190.0,0.0,N/A,Zenduit Corporation
INV-010673,DBC Group,2025-04-21,174.02,0.0,N/A,Zenduit Corporation
INV-010672,"Welch Excavation & Utility Company, Inc.",2025-04-21,471.0,0.0,N/A,Zenduit Corporation
INV-010671,The Three C's Properties Inc,2025-04-21,703.0,0.0,N/A,Zenduit Corporation
INV-010670,Biomedical Waste Disposal (T-Mobile Client),2025-04-20,132.0,0.0,N/A,Zenduit Corporation
INV-010669,Locke Supply (T-Mobile Customer),2025-04-20,1295.0,0.0,N/A,Zenduit Corporation
INV-010668,Hight Logistics (Old T-Mobile Client - Now Verizon ),2025-04-20,312.0,0.0,N/A,Zenduit Corporation
INV-010667,Dynasty Communications,2025-04-20,90.0,0.0,N/A,Zenduit Corporation
INV-010664,Efficient Fleets,2025-04-19,3490.1,0.0,N/A,Zenduit Corporation
INV-010662,McClay's Transportation Ltd.,2025-04-19,612.57,0.0,N/A,Zenduit Corporation
INV-010661,Fleet Shield,2025-04-19,195.0,0.0,N/A,Zenduit Corporation
INV-010660,Henry & Henry Inc.,2025-04-19,336.0,0.0,N/A,Zenduit Corporation
INV-010659,GotPrint,2025-04-19,108.0,0.0,N/A,Zenduit Corporation
INV-010658,Canadian Grounds,2025-04-18,0.0,0.0,N/A,Zenduit Corporation
INV-010657,Four Seasons Landscape and Property Services,2025-04-18,80.0,0.0,N/A,Zenduit Corporation
INV-010656,Incotec,2025-04-18,174.0,0.0,N/A,Zenduit Corporation
INV-010653,"TrackCam, LLC",2025-04-17,415.0,0.0,N/A,Zenduit Corporation
INV-010652,Lan Communications,2025-04-17,700.0,0.0,N/A,Zenduit Corporation
INV-010651,Meridith Baer Home (T-Mobile Client),2025-04-17,300.0,0.0,N/A,Zenduit Corporation
INV-010650,Dynasty Communications,2025-04-17,72.0,0.0,N/A,Zenduit Corporation
INV-010649,Axiom Fleet Telematics,2025-04-16,555.0,0.0,N/A,Zenduit Corporation
INV-010647,NY TRANSPORT INC (T-Mobile Client),2025-04-15,30.0,0.0,N/A,Zenduit Corporation
INV-010646,"Midwest Environmental Services, Inc.",2025-04-15,240.0,0.0,N/A,Zenduit Corporation
INV-010645,"Cee Kay Supply, Inc.",2025-04-15,228.0,0.0,N/A,Zenduit Corporation
INV-010644,Advantage Asset Tracking Inc.,2025-04-15,374.26,0.0,N/A,Zenduit Corporation
INV-010643,"Participation House, Markham",2025-04-15,175.15,0.0,N/A,Zenduit Corporation
INV-010642,Miami LNG - FIXX/ Samsara,2025-04-14,20.0,0.0,N/A,Zenduit Corporation
INV-010641,Dynasty Communications,2025-04-14,106.0,0.0,N/A,Zenduit Corporation
INV-010639,Mercury GPS,2025-04-13,3376.0,0.0,N/A,Zenduit Corporation
INV-010637,JLRG Consulting (Tel-Sol),2025-04-13,190.0,0.0,N/A,Zenduit Corporation
INV-010635,"Techweb of Puerto Rico, Inc.",2025-04-13,3990.0,0.0,N/A,Zenduit Corporation
INV-010633,Assetflo (Unique Partnership Agreement),2025-04-13,153.91,0.0,N/A,Zenduit Corporation
INV-010631,Super Win Enterprises,2025-04-13,90.0,0.0,N/A,Zenduit Corporation
INV-010630,Efficient Fleets,2025-04-12,48.75,0.0,N/A,Zenduit Corporation
INV-010629,Smart MUBE,2025-03-13,270.0,0.0,N/A,Zenduit Corporation
INV-010628,Port Connect Intermodel,2025-04-12,60.0,0.0,N/A,Zenduit Corporation
INV-010627,"Pro-Vac, LLC (Fiix Customer)",2025-04-12,1614.0,0.0,N/A,Zenduit Corporation
INV-010626,Dynasty provisions,2025-04-11,60.0,0.0,N/A,Zenduit Corporation
INV-010625,HBC Distributors (dba IPN Express) T-Mobile Customer,2025-04-11,392.0,0.0,N/A,Zenduit Corporation
INV-010624,Dynasty Communications,2025-04-11,234.0,0.0,N/A,Zenduit Corporation
INV-010623,City of Vernon,2025-04-11,175.14,0.0,N/A,Zenduit Corporation
INV-010620,Precise Fleet Tracking Solutions,2025-04-10,3376.0,0.0,N/A,Zenduit Corporation
INV-010618,SoCal Rentals (T-Mobile Client),2025-04-09,36.0,0.0,N/A,Zenduit Corporation
INV-010617,Santosa Delivery (T-Mobile Client),2025-04-09,108.0,0.0,N/A,Zenduit Corporation
INV-010616,"A & V Reality Transportation , LLC",2025-04-09,396.0,0.0,N/A,Zenduit Corporation
INV-010615,Northern Business Intelligence,2025-04-09,89.7,0.0,N/A,Zenduit Corporation
INV-010612,EcoTrack Fleet Management,2025-04-08,60.0,0.0,N/A,Zenduit Corporation
INV-010611,Line Drive Trucking (T-Mobile Customer),2025-04-08,1500.0,0.0,N/A,Zenduit Corporation
INV-010610,Platinum Energy Services,2025-04-08,387.0,0.0,N/A,Zenduit Corporation
INV-010609,GPS to GO Ltd.,2025-04-08,146.37,0.0,N/A,Zenduit Corporation
INV-010607,Furst McNess Company,2025-04-07,75.0,0.0,N/A,Zenduit Corporation
INV-010606,Apex Wireless,2025-04-07,535.0,0.0,N/A,Zenduit Corporation
INV-010605,QUALTRACKS,2025-04-07,21.5,0.0,N/A,Zenduit Corporation
INV-010603,iPTT Wireless Solutions,2025-04-06,141.5,0.0,N/A,Zenduit Corporation
INV-010602,Grupo Invictus,2025-04-06,23.21,0.0,N/A,Zenduit Corporation
INV-010601,Quixote Studios LLC,2025-03-07,4172.0,0.0,N/A,Zenduit Corporation
INV-010600,Genesis Dispatch,2025-04-06,548.55,0.0,N/A,Zenduit Corporation
INV-010599,RMA Testing Company Zenduit,2025-04-06,979.34,0.0,N/A,Zenduit Corporation
INV-010598,Badger Fleet Solutions,2025-04-06,304.0,0.0,N/A,Zenduit Corporation
INV-010597,Hawkeye Electronic Security,2025-04-06,475.0,0.0,N/A,Zenduit Corporation
INV-010596,Precise Fleet Tracking Solutions,2025-04-05,5.75,0.0,N/A,Zenduit Corporation
INV-010595,"Georgia Pack & Load Moving and Storage, Inc.",2025-03-06,243.0,0.0,N/A,Zenduit Corporation
INV-010594,Cal Freight,2025-04-05,30.0,0.0,N/A,Zenduit Corporation
INV-010593,Dynasty Communications,2025-04-05,18.0,0.0,N/A,Zenduit Corporation
INV-010590,Meridith Baer Home (T-Mobile Client),2025-04-04,115.0,0.0,N/A,Zenduit Corporation
INV-010589,Bital Services Inc,2025-04-04,273.99,0.0,N/A,Zenduit Corporation
INV-010588,Lee Fish USA (T-Mobile Client),2025-04-04,83.93,0.0,N/A,Zenduit Corporation
INV-010586,GLEZ Trucking (T-Mobile Customer),2025-04-04,80.0,0.0,N/A,Zenduit Corporation
INV-010585,Dynasty Communications,2025-04-04,78.0,0.0,N/A,Zenduit Corporation
INV-010584,Dynasty Communications,2025-04-04,180.5,0.0,N/A,Zenduit Corporation
